The Watchtower, Watchtower Bible and Tract Society, 6, 1879
Awake!, Watchtower Bible and Tract Society, 12, 1919
AARP The Magazine, AARP, 6, 1958
Parenting, Bonnier, 11, 1987, 2013
AARP Bulletin, AARP, 6, 1960
ADAC Motorwelt, ADAC, 12, 1945
Game Informer, Gamestop Corp., 12, 1991
Newsweek, The Newsweek Daily Beast Company, 52, 1933, 2012
Better Homes and Gardens, Meredith Corporation, 12, 1922
Reader's Digest, The Reader's Digest Association, 12, 1922
National Geographic, Hearst Corporation, 12, 1888
Good Housekeeping, Hearst Corporation, 12, 1885
Family Circle, Meredith Corporation, 12, 1932
People, Time Inc., 52, 1974

